entry_time,direction,entry,sl,dist,touches,htf_dist,fresh,outcome,t1_hit,pnl_usd
2025-12-26 13:00:00+00:00,LONG,4514.24,4505.07,9.17,3,13.76,True,T2,True,131.25
2025-12-31 13:20:00+00:00,LONG,4325.19,4309.66,15.53,3,26.46,True,BE,True,56.25
2026-01-06 13:50:00+00:00,LONG,4464.6,4449.19,15.41,4,5.03,True,BE,True,56.25
2026-01-12 16:45:00+00:00,LONG,4615.4,4612.51,2.89,2,5.71,True,SL,False,-75.0
2026-01-12 17:45:00+00:00,LONG,4617.15,4612.51,4.64,2,3.24,False,SL,False,-75.0
2026-01-15 14:20:00+00:00,LONG,4603.29,4593.18,10.11,3,5.73,True,T2,True,131.25
2026-01-27 14:45:00+00:00,SHORT,5064.95,5091.51,26.56,2,19.71,True,SL,False,-75.0
2026-01-30 14:50:00+00:00,SHORT,5047.46,5098.89,51.43,2,23.03,True,T2,True,131.25
2026-01-30 15:50:00+00:00,SHORT,5041.0,5098.89,57.89,4,2.85,False,T2,True,131.25
2026-02-02 13:00:00+00:00,SHORT,4746.4,4806.45,60.05,2,32.91,True,T2,True,131.25
2026-02-02 13:15:00+00:00,SHORT,4749.69,4806.45,56.76,2,29.19,False,T2,True,131.25
2026-02-03 13:00:00+00:00,LONG,4920.32,4889.74,30.58,5,23.0,True,T2,True,131.25
2026-02-05 16:05:00+00:00,LONG,4827.27,4800.41,26.86,4,45.82,True,T2,True,131.25
2026-02-05 16:15:00+00:00,LONG,4837.21,4800.41,36.8,4,42.3,False,BE,True,56.25
2026-02-05 16:20:00+00:00,LONG,4849.55,4800.41,49.14,4,40.64,False,SL,False,-75.0
2026-02-05 16:35:00+00:00,LONG,4858.72,4800.41,58.31,4,36.04,False,SL,False,-75.0
2026-02-05 16:40:00+00:00,LONG,4877.82,4800.41,77.41,4,34.63,False,SL,False,-75.0
2026-02-17 13:00:00+00:00,SHORT,4927.01,4938.77,11.76,3,53.95,True,T2,True,131.25
2026-02-17 13:05:00+00:00,SHORT,4924.46,4938.77,14.31,3,51.84,False,T2,True,131.25
2026-02-23 14:10:00+00:00,LONG,5156.63,5145.98,10.65,3,35.34,True,T2,True,131.25
2026-02-26 13:00:00+00:00,SHORT,5175.1,5189.79,14.69,4,11.44,True,BE,True,56.25
2026-02-26 17:10:00+00:00,SHORT,5179.79,5189.79,10.0,8,9.03,False,BE,True,56.25
2026-03-02 14:00:00+00:00,SHORT,5376.35,5397.07,20.72,2,57.9,True,T2,True,131.25
2026-03-04 14:35:00+00:00,SHORT,5171.81,5197.58,25.77,2,21.81,True,T2,True,131.25
2026-03-04 14:45:00+00:00,SHORT,5155.19,5197.58,42.39,2,20.14,False,SL,False,-75.0
2026-03-17 13:00:00+00:00,LONG,5016.63,5006.93,9.7,2,6.99,True,SL,False,-75.0
2026-03-19 15:15:00+00:00,SHORT,4608.49,4653.33,44.84,3,22.31,True,SL,False,-75.0
2026-03-23 17:05:00+00:00,LONG,4396.13,4386.42,9.71,4,32.36,True,T2,True,131.25
2026-03-23 17:25:00+00:00,LONG,4405.07,4386.42,18.65,4,27.58,False,BE,True,56.25
2026-03-24 17:00:00+00:00,SHORT,4407.7,4435.72,28.02,10,22.14,True,SL,False,-75.0
2026-03-25 14:25:00+00:00,LONG,4561.81,4539.79,22.02,7,11.64,True,SL,False,-75.0
2026-03-26 15:05:00+00:00,SHORT,4454.13,4458.67,4.54,7,10.61,True,SL,False,-75.0
2026-03-26 15:30:00+00:00,SHORT,4441.78,4458.67,16.89,7,8.69,False,T2,True,131.25
2026-04-07 13:55:00+00:00,SHORT,4643.41,4659.14,15.73,2,7.97,True,T2,True,131.25
2026-04-07 14:40:00+00:00,SHORT,4646.36,4659.14,12.78,3,13.17,False,BE,True,56.25
2026-04-08 13:10:00+00:00,SHORT,4792.87,4803.07,10.2,4,15.37,True,T2,True,131.25
2026-04-08 13:25:00+00:00,SHORT,4789.56,4803.07,13.51,4,13.63,False,BE,True,56.25
2026-04-13 16:05:00+00:00,LONG,4716.28,4707.9,8.38,6,12.97,True,T2,True,131.25
2026-04-15 17:25:00+00:00,SHORT,4801.54,4811.81,10.27,2,12.19,True,SL,False,-75.0
2026-04-21 13:55:00+00:00,SHORT,4778.9,4790.73,11.83,3,4.05,True,T2,True,131.25
2026-04-23 15:40:00+00:00,SHORT,4727.89,4735.95,8.06,2,4.35,True,BE,True,56.25
2026-04-23 15:45:00+00:00,SHORT,4724.55,4735.95,11.4,2,4.18,False,SL,False,-75.0
2026-04-23 15:50:00+00:00,SHORT,4717.22,4735.95,18.73,2,4.02,False,SL,False,-75.0
2026-04-23 17:00:00+00:00,SHORT,4725.01,4735.95,10.94,3,17.52,False,T2,True,131.25
2026-04-23 17:05:00+00:00,SHORT,4710.18,4735.95,25.77,3,16.84,False,BE,True,56.25
2026-05-04 14:40:00+00:00,SHORT,4574.29,4587.82,13.53,3,4.0,True,T2,True,131.25
2026-05-14 13:00:00+00:00,SHORT,4696.93,4706.34,9.41,4,19.36,True,T2,True,131.25
2026-05-14 13:15:00+00:00,SHORT,4692.71,4706.34,13.63,4,17.17,False,BE,True,56.25
2026-05-14 14:25:00+00:00,SHORT,4691.23,4694.85,3.62,2,9.67,True,T2,True,131.25
2026-05-15 15:00:00+00:00,SHORT,4553.85,4554.35,0.5,3,12.4,True,SL,True,-18.75
2026-05-15 15:10:00+00:00,SHORT,4552.36,4554.35,1.99,3,11.45,False,T2,True,131.25
2026-05-15 15:20:00+00:00,SHORT,4545.58,4554.35,8.77,3,10.57,False,BE,True,56.25
2026-05-22 13:00:00+00:00,SHORT,4523.78,4536.47,12.69,3,10.09,True,T2,True,131.25
2026-05-26 17:25:00+00:00,SHORT,4501.37,4510.49,9.12,3,14.64,True,T2,True,131.25
